Ano;Território;Desemprego 25-34 anos;Desemprego 35-44 anos;Desemprego 45-54 anos;Desemprego 55+ anos;População com 1º Ciclo;População com 2º Ciclo;População com 3º Ciclo/Secundário;Pré-Escolar;População Empregada - Homens;População Empregada - Mulheres;População Empregada - Total
2009;Portimão;909.9;817.5;712.8;491.1;45.2;110.0;76.2;88.2;;;3346.9
2009;Porto;3201.3;2862.8;3612.3;2837.1;48.6;175.8;108.9;84.5;;;14276.6
2009;Porto de Mós;197.7;188.5;150.3;151.3;100.0;56.5;33.3;133.3;;;804.8
2009;Proença-a-Nova;41.3;44.1;52.9;48.8;333.3;400.0;57.1;;;;218.7
2009;Póvoa de Lanhoso;222.7;208.7;221.2;180.4;88.5;350.0;80.6;83.3;;;990.3
2009;Póvoa de Varzim;883.3;822.7;860.6;764.9;98.6;214.9;74.4;34.3;;;3878.2
2009;Redondo;85.9;78.7;64.5;54.0;175.0;62.5;35.0;16.7;;;343.9
2009;Reguengos de Monsaraz;157.7;147.9;123.6;90.1;500.0;137.5;57.1;500.0;;;637.2
2009;Resende;158.1;177.3;147.3;69.8;250.0;116.7;15.0;;;;678.7
2009;Ribeira de Pena;79.7;101.1;92.3;67.0;;50.0;25.0;66.7;;;425.5
2009;Rio Maior;141.8;107.9;98.6;121.5;64.5;170.0;55.1;57.1;;;557.5
2009;Sabrosa;71.7;61.6;68.8;70.5;466.7;300.0;45.5;;;;319.9
2009;Sabugal;70.9;63.6;67.3;41.2;;154.5;95.7;;;;287.0
2009;Salvaterra de Magos;309.7;298.4;352.9;343.6;73.7;60.0;34.2;50.0;;;1481.9
2009;Santa Comba Dão;86.7;78.1;79.8;88.6;228.6;325.0;73.7;100.0;;;385.3
2009;Santa Maria da Feira;1710.4;1925.8;1986.8;1619.8;32.5;110.1;74.2;98.0;;;8319.0
2009;Santa Marta de Penaguião;114.4;95.8;101.2;82.5;;150.0;45.5;;;;458.3
2009;Santarém;507.9;402.2;427.9;408.7;78.9;106.1;86.2;72.2;;;2016.3
2009;Santiago do Cacém;314.6;226.2;267.3;242.9;95.7;566.7;77.6;23.1;;;1230.2
2009;Santo Tirso;1072.0;1245.1;1936.8;1642.6;40.6;95.3;56.6;108.0;;;6759.3
2009;Sardoal;39.0;43.8;44.4;25.6;66.7;150.0;40.0;;;;179.7
2009;Seia;275.7;275.4;442.8;367.5;450.0;200.0;75.9;212.5;;;1582.7
2009;Seixal;1726.0;1534.6;1485.3;1243.3;52.7;143.3;160.9;31.5;;;6699.3
2009;Sernancelhe;38.0;32.3;61.1;29.0;71.4;250.0;11.8;100.0;;;186.0
