Ano,Território,Desemprego 25-34 anos,População com 1º Ciclo,População com 2º Ciclo,População com 3º Ciclo/Secundário,Pré-Escolar,População Empregada - Homens,População Empregada - Total,Cluster
2009,Moita,1015.7,49.4,83.9,109.6,100.0,3481.5006715916725,3836.8,0
2009,Monchique,32.5,300.0,28.6,36.4,608.1002453557659,3481.5006715916725,186.8,1
2009,Mondim de Basto,102.3,950.0,75.0,36.4,608.1002453557659,3481.5006715916725,436.5,1
2009,Monforte,40.9,911.898627596439,50.0,9.1,100.0,3481.5006715916725,139.2,1
2009,Montalegre,59.9,1500.0,100.0,15.2,608.1002453557659,3481.5006715916725,283.3,2
2009,Montemor-o-Novo,138.9,70.0,90.0,67.6,37.5,3481.5006715916725,521.8,1
2009,Montemor-o-Velho,239.0,129.4,620.0,147.6,45.5,3481.5006715916725,990.6,1
2009,Montijo,560.2,48.2,63.3,114.7,60.9,3481.5006715916725,2132.6,1
2009,Monção,176.0,240.0,328.6,63.3,60.0,3481.5006715916725,580.6,1
2009,Mora,38.4,133.3,66.7,40.0,100.0,3481.5006715916725,181.8,1
2009,Mortágua,52.2,550.0,350.0,114.3,100.0,3481.5006715916725,227.2,1
2009,Moura,233.7,83.3,113.3,49.0,50.0,3481.5006715916725,999.8,1
2009,Mourão,26.7,911.898627596439,57.1,9.1,100.0,3481.5006715916725,91.8,1
2009,Murtosa,115.2,72.7,71.4,50.0,166.7,3481.5006715916725,414.4,1
2009,Murça,60.9,275.0,200.0,100.0,608.1002453557659,3481.5006715916725,277.1,1
2009,Mértola,37.7,100.0,200.0,11.5,100.0,3481.5006715916725,212.0,1
2009,Mêda,26.4,400.0,50.0,40.0,300.0,3481.5006715916725,86.8,1
2009,Nazaré,198.3,157.1,283.3,44.0,20.0,3481.5006715916725,764.7,1
2009,Nelas,226.5,150.0,153.8,50.0,54.5,3481.5006715916725,812.7,1
2009,Nisa,65.6,166.7,100.0,36.8,608.1002453557659,3481.5006715916725,225.3,1
2009,Odemira,234.4,82.4,114.3,38.6,13.3,3481.5006715916725,1123.5,1
2009,Odivelas,1152.5,39.7,172.8,149.3,35.5,3481.5006715916725,4662.1,0
2009,Oeiras,1206.8,46.4,183.8,235.6,45.8,3481.5006715916725,5111.8,0
2009,Oleiros,18.1,200.0,20.0,50.0,100.0,3481.5006715916725,91.3,1
2009,Olhão,627.0,85.0,100.0,66.4,38.5,3481.5006715916725,2138.1,1
2009,Oliveira de Azeméis,573.1,47.6,101.7,50.7,115.0,3481.5006715916725,2753.4,1
2009,Oliveira de Frades,62.9,140.0,18.2,35.3,608.1002453557659,3481.5006715916725,286.1,1
2009,Oliveira do Bairro,234.3,76.2,129.4,64.1,100.0,3481.5006715916725,803.4,1
2009,Oliveira do Hospital,173.5,84.0,81.0,38.6,100.0,3481.5006715916725,754.8,1
2009,Ourique,54.9,150.0,996.7853123977756,23.5,400.0,3481.5006715916725,260.1,1
2009,Ourém,328.1,172.7,91.2,50.8,212.5,3481.5006715916725,1272.0,1
2009,Ovar,844.5,75.9,137.5,98.9,88.2,3481.5006715916725,3669.4,0
2009,Palmela,682.4,42.9,82.0,37.7,43.3,3481.5006715916725,2743.7,1
2009,Pampilhosa da Serra,14.3,12.5,996.7853123977756,11.1,608.1002453557659,3481.5006715916725,88.4,1
2009,Paredes,1091.5,47.5,111.4,31.1,64.3,3481.5006715916725,5078.6,0
2009,Paredes de Coura,81.1,90.0,85.7,8.8,608.1002453557659,3481.5006715916725,397.7,1
2009,Paços de Ferreira,597.4,34.4,50.0,18.2,52.9,3481.5006715916725,3131.3,1
2009,Pedrógão Grande,23.0,200.0,66.7,33.3,608.1002453557659,3481.5006715916725,160.9,1
2009,Penacova,116.7,157.1,155.6,190.9,900.0,3481.5006715916725,469.1,1
2009,Penafiel,731.9,82.3,127.8,37.1,135.7,3481.5006715916725,3303.6,1
2009,Penalva do Castelo,102.8,350.0,350.0,61.5,200.0,3481.5006715916725,397.8,1
2009,Penamacor,29.3,911.898627596439,996.7853123977756,21.4,608.1002453557659,3481.5006715916725,139.1,2
2009,Penedono,28.7,166.7,200.0,14.3,50.0,3481.5006715916725,92.0,1
2009,Penela,37.8,300.0,600.0,125.0,50.0,3481.5006715916725,167.9,1
2009,Peniche,399.4,66.7,133.3,130.2,33.3,3481.5006715916725,1494.8,1
2009,Peso da Régua,245.2,520.0,200.0,89.3,20.0,3481.5006715916725,1048.6,1
2009,Pinhel,85.8,911.898627596439,140.0,68.4,800.0,3481.5006715916725,373.1,2
2009,Pombal,405.8,60.8,103.4,55.5,61.1,3481.5006715916725,1533.7,1
2009,Ponte da Barca,109.3,114.3,150.0,66.7,66.7,3481.5006715916725,464.1,1
2009,Ponte de Lima,404.5,117.9,740.0,80.8,185.7,3481.5006715916725,1687.6,1
2009,Ponte de Sor,239.8,175.0,122.2,61.8,60.0,3481.5006715916725,1021.5,1
2009,Portalegre,314.2,262.5,180.0,98.5,81.8,3481.5006715916725,1127.3,1
2009,Portel,68.9,140.0,50.0,22.2,20.0,3481.5006715916725,362.4,1
2009,Portimão,909.9,45.2,110.0,76.2,88.2,3481.5006715916725,3346.9,0
2009,Porto de Mós,197.7,100.0,56.5,33.3,133.3,3481.5006715916725,804.8,1
2009,Proença-a-Nova,41.3,333.3,400.0,57.1,608.1002453557659,3481.5006715916725,218.7,1
2009,Póvoa de Lanhoso,222.7,88.5,350.0,80.6,83.3,3481.5006715916725,990.3,1
2009,Póvoa de Varzim,883.3,98.6,214.9,74.4,34.3,3481.5006715916725,3878.2,0
2009,Redondo,85.9,175.0,62.5,35.0,16.7,3481.5006715916725,343.9,1
2009,Reguengos de Monsaraz,157.7,500.0,137.5,57.1,500.0,3481.5006715916725,637.2,1
