Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2009,226.5,150.0,153.8,50.0,54.5,4006.4644790257103
2009,65.6,166.7,100.0,36.8,606.0225288159273,4006.4644790257103
2009,234.4,82.4,114.3,38.6,13.3,4006.4644790257103
2009,1152.5,39.7,172.8,149.3,35.5,4006.4644790257103
2009,1206.8,46.4,183.8,235.6,45.8,4006.4644790257103
2009,18.1,200.0,20.0,50.0,100.0,4006.4644790257103
2009,627.0,85.0,100.0,66.4,38.5,4006.4644790257103
2009,573.1,47.6,101.7,50.7,115.0,4006.4644790257103
2009,62.9,140.0,18.2,35.3,606.0225288159273,4006.4644790257103
2009,234.3,76.2,129.4,64.1,100.0,4006.4644790257103
2009,173.5,84.0,81.0,38.6,100.0,4006.4644790257103
2009,54.9,150.0,997.7471821756225,23.5,400.0,4006.4644790257103
2009,328.1,172.7,91.2,50.8,212.5,4006.4644790257103
2009,844.5,75.9,137.5,98.9,88.2,4006.4644790257103
2009,682.4,42.9,82.0,37.7,43.3,4006.4644790257103
2009,14.3,12.5,997.7471821756225,11.1,606.0225288159273,4006.4644790257103
2009,1091.5,47.5,111.4,31.1,64.3,4006.4644790257103
2009,81.1,90.0,85.7,8.8,606.0225288159273,4006.4644790257103
2009,597.4,34.4,50.0,18.2,52.9,4006.4644790257103
2009,23.0,200.0,66.7,33.3,606.0225288159273,4006.4644790257103
2009,116.7,157.1,155.6,190.9,900.0,4006.4644790257103
2009,731.9,82.3,127.8,37.1,135.7,4006.4644790257103
2009,102.8,350.0,350.0,61.5,200.0,4006.4644790257103
2009,29.3,908.5050445103858,997.7471821756225,21.4,606.0225288159273,4006.4644790257103
2009,28.7,166.7,200.0,14.3,50.0,4006.4644790257103
2009,37.8,300.0,600.0,125.0,50.0,4006.4644790257103
2009,399.4,66.7,133.3,130.2,33.3,4006.4644790257103
2009,245.2,520.0,200.0,89.3,20.0,4006.4644790257103
2009,85.8,908.5050445103858,140.0,68.4,800.0,4006.4644790257103
2009,405.8,60.8,103.4,55.5,61.1,4006.4644790257103
2009,109.3,114.3,150.0,66.7,66.7,4006.4644790257103
2009,404.5,117.9,740.0,80.8,185.7,4006.4644790257103
2009,239.8,175.0,122.2,61.8,60.0,4006.4644790257103
2009,314.2,262.5,180.0,98.5,81.8,4006.4644790257103
2009,68.9,140.0,50.0,22.2,20.0,4006.4644790257103
2009,909.9,45.2,110.0,76.2,88.2,4006.4644790257103
2009,197.7,100.0,56.5,33.3,133.3,4006.4644790257103
2009,41.3,333.3,400.0,57.1,606.0225288159273,4006.4644790257103
2009,222.7,88.5,350.0,80.6,83.3,4006.4644790257103
2009,883.3,98.6,214.9,74.4,34.3,4006.4644790257103
2009,85.9,175.0,62.5,35.0,16.7,4006.4644790257103
2009,157.7,500.0,137.5,57.1,500.0,4006.4644790257103
2009,158.1,250.0,116.7,15.0,606.0225288159273,4006.4644790257103
2009,79.7,908.5050445103858,50.0,25.0,66.7,4006.4644790257103
2009,141.8,64.5,170.0,55.1,57.1,4006.4644790257103
2009,71.7,466.7,300.0,45.5,606.0225288159273,4006.4644790257103
2009,70.9,908.5050445103858,154.5,95.7,606.0225288159273,4006.4644790257103
2009,309.7,73.7,60.0,34.2,50.0,4006.4644790257103
