01. Ano;02. Nome Região (Portugal);03. Âmbito Geográfico;04. Filtro 1;07. Escala;09. Valor
2009;Batalha;Município;45-54; pessoas;113.1
2009;Batalha;Município;55 ou mais anos; pessoas;112.1
2009;Batalha;Município;Menos de 25 anos; pessoas;65.7
2009;Batalha;Município;Total; pessoas;494.9
2009;Beja;Município;25-34; pessoas;389.3
2009;Beja;Município;35-44; pessoas;268.2
2009;Beja;Município;45-54; pessoas;203.4
2009;Beja;Município;55 ou mais anos; pessoas;148.5
2009;Beja;Município;Menos de 25 anos; pessoas;211.3
2009;Beja;Município;Total; pessoas;1220.8
2009;Belmonte;Município;25-34; pessoas;98.0
2009;Belmonte;Município;35-44; pessoas;77.8
2009;Belmonte;Município;45-54; pessoas;72.3
2009;Belmonte;Município;55 ou mais anos; pessoas;53.8
2009;Belmonte;Município;Menos de 25 anos; pessoas;54.2
2009;Belmonte;Município;Total; pessoas;356.1
2009;Benavente;Município;25-34; pessoas;325.1
2009;Benavente;Município;35-44; pessoas;339.8
2009;Benavente;Município;45-54; pessoas;257.4
2009;Benavente;Município;55 ou mais anos; pessoas;205.6
2009;Benavente;Município;Menos de 25 anos; pessoas;200.2
2009;Benavente;Município;Total; pessoas;1328.0
2009;Bombarral;Município;25-34; pessoas;122.8
2009;Bombarral;Município;35-44; pessoas;103.9
2009;Bombarral;Município;45-54; pessoas;108.6
2009;Bombarral;Município;55 ou mais anos; pessoas;81.3
2009;Bombarral;Município;Menos de 25 anos; pessoas;70.3
2009;Bombarral;Município;Total; pessoas;486.8
2009;Borba;Município;25-34; pessoas;70.4
2009;Borba;Município;35-44; pessoas;62.3
2009;Borba;Município;45-54; pessoas;66.5
2009;Borba;Município;55 ou mais anos; pessoas;37.2
2009;Borba;Município;Menos de 25 anos; pessoas;59.0
2009;Borba;Município;Total; pessoas;295.3
2009;Boticas;Município;25-34; pessoas;41.9
2009;Boticas;Município;35-44; pessoas;43.4
2009;Boticas;Município;45-54; pessoas;45.6
2009;Boticas;Município;55 ou mais anos; pessoas;41.3
2009;Boticas;Município;Menos de 25 anos; pessoas;32.8
2009;Boticas;Município;Total; pessoas;205.0
2009;Braga;Município;25-34; pessoas;2350.3
2009;Braga;Município;35-44; pessoas;1996.8
2009;Braga;Município;45-54; pessoas;2264.1
2009;Braga;Município;55 ou mais anos; pessoas;1846.4
2009;Braga;Município;Menos de 25 anos; pessoas;1112.5
2009;Braga;Município;Total; pessoas;9570.1
2009;Bragança;Município;25-34; pessoas;492.8
2009;Bragança;Município;35-44; pessoas;301.7
2009;Bragança;Município;45-54; pessoas;254.0
2009;Bragança;Município;55 ou mais anos; pessoas;199.8
2009;Bragança;Município;Menos de 25 anos; pessoas;271.0
2009;Bragança;Município;Total; pessoas;1519.3
2009;Cabeceiras de Basto;Município;25-34; pessoas;279.3
2009;Cabeceiras de Basto;Município;35-44; pessoas;244.8
2009;Cabeceiras de Basto;Município;45-54; pessoas;249.3
2009;Cabeceiras de Basto;Município;55 ou mais anos; pessoas;146.3
2009;Cabeceiras de Basto;Município;Menos de 25 anos; pessoas;200.3
2009;Cabeceiras de Basto;Município;Total; pessoas;1120.1
2009;Cadaval;Município;25-34; pessoas;117.3
2009;Cadaval;Município;35-44; pessoas;126.5
2009;Cadaval;Município;45-54; pessoas;107.0
2009;Cadaval;Município;55 ou mais anos; pessoas;81.7
2009;Cadaval;Município;Menos de 25 anos; pessoas;75.9
2009;Cadaval;Município;Total; pessoas;508.3
2009;Caldas da Rainha;Município;25-34; pessoas;638.3
2009;Caldas da Rainha;Município;35-44; pessoas;568.3
2009;Caldas da Rainha;Município;45-54; pessoas;549.4
2009;Caldas da Rainha;Município;55 ou mais anos; pessoas;396.2
2009;Caldas da Rainha;Município;Menos de 25 anos; pessoas;327.0
2009;Caldas da Rainha;Município;Total; pessoas;2479.1
2009;Calheta [R.A.A.];Município;25-34; pessoas;237.09423076923076
2009;Calheta [R.A.A.];Município;35-44; pessoas;237.09423076923076
2009;Calheta [R.A.A.];Município;45-54; pessoas;237.09423076923076
2009;Calheta [R.A.A.];Município;55 ou mais anos; pessoas;237.09423076923076
2009;Calheta [R.A.A.];Município;Menos de 25 anos; pessoas;237.09423076923076
2009;Calheta [R.A.A.];Município;Total; pessoas;237.09423076923076
2009;Calheta [R.A.M.];Município;25-34; pessoas;866.3359375
2009;Calheta [R.A.M.];Município;35-44; pessoas;866.3359375
2009;Calheta [R.A.M.];Município;45-54; pessoas;866.3359375
2009;Calheta [R.A.M.];Município;55 ou mais anos; pessoas;866.3359375
2009;Calheta [R.A.M.];Município;Menos de 25 anos; pessoas;866.3359375
2009;Calheta [R.A.M.];Município;Total; pessoas;866.3359375
2009;Câmara de Lobos;Município;25-34; pessoas;1706.871212121212
2009;Câmara de Lobos;Município;35-44; pessoas;1706.871212121212
2009;Câmara de Lobos;Município;45-54; pessoas;1706.871212121212
2009;Câmara de Lobos;Município;55 ou mais anos; pessoas;1706.871212121212
2009;Câmara de Lobos;Município;Menos de 25 anos; pessoas;1706.871212121212
2009;Câmara de Lobos;Município;Total; pessoas;1706.871212121212
2009;Caminha;Município;25-34; pessoas;153.9
2009;Caminha;Município;35-44; pessoas;115.8
2009;Caminha;Município;45-54; pessoas;128.7
2009;Caminha;Município;55 ou mais anos; pessoas;108.9
2009;Caminha;Município;Menos de 25 anos; pessoas;77.0
2009;Caminha;Município;Total; pessoas;584.3
2009;Campo Maior;Município;25-34; pessoas;107.3
2009;Campo Maior;Município;35-44; pessoas;74.1
2009;Campo Maior;Município;45-54; pessoas;54.0
2009;Campo Maior;Município;55 ou mais anos; pessoas;53.8
2009;Campo Maior;Município;Menos de 25 anos; pessoas;94.1
2009;Campo Maior;Município;Total; pessoas;383.2
2009;Cantanhede;Município;25-34; pessoas;345.3
2009;Cantanhede;Município;35-44; pessoas;217.0
2009;Cantanhede;Município;45-54; pessoas;237.5
2009;Cantanhede;Município;55 ou mais anos; pessoas;231.0
2009;Cantanhede;Município;Menos de 25 anos; pessoas;180.1
2009;Cantanhede;Município;Total; pessoas;1210.9
2009;Carrazeda de Ansiães;Município;25-34; pessoas;60.6
